,Name,MC_INR_Billion,MC_EUR_Billion,MC_GBP_Billion,MC_USD_Billion
0,JPMorgan Chase,35910.71,402.62,346.34,432.92
1,Bank of America,19204.58,215.31,185.22,231.52
2,Industrial and Commercial Bank of China,16138.75,180.94,155.65,194.56
3,Agricultural Bank of China,13328.41,149.43,128.54,160.68
4,HDFC Bank,13098.63,146.86,126.33,157.91
5,Wells Fargo,12929.42,144.96,124.7,155.87
6,HSBC Holdings PLC,12351.26,138.48,119.12,148.9
7,Morgan Stanley,11681.85,130.97,112.66,140.83
8,China Construction Bank,11598.07,130.03,111.86,139.82
9,Bank of China,11348.39,127.23,109.45,136.81
